Reading Airport file from airports.txt
Read Airports: There were 5740 Airports with IATA code
Reading Routes file from routes.txt
Read Routes: There were 68292 routes with IATA code
Calculating Page Rank
PageRank Result:
114 : 0.00155121959842 -> Geneve Cointrin, Switzerland
115 : 0.00153141374949 -> Calgary Intl, Canada
116 : 0.00152581771086 -> Lukou, China
117 : 0.00152344798952 -> Ruzyne, Czech Republic
118 : 0.0015217092465 -> Galeao Antonio Carlos Jobim, Brazil
119 : 0.00152036084768 -> Port Moresby Jacksons Intl, Papua New Guinea
120 : 0.00150860933434 -> Ibiza, Spain
121 : 0.00148027384335 -> Tampa Intl, United States
122 : 0.00147649368198 -> Ronald Reagan Washington Natl, United States
123 : 0.00146918322289 -> Birmingham, United Kingdom
124 : 0.00146606451426 -> Alicante, Spain
125 : 0.00146319038665 -> Arturo Merino Benitez Intl, Chile
126 : 0.00146218462531 -> Faa\\'a International, French Polynesia
127 : 0.00145800986515 -> Lambert St Louis Intl, United States
128 : 0.0014465319753 -> Sabiha Gokcen, Turkey
129 : 0.00144002844176 -> Venezia Tessera, Italy
130 : 0.00141183403275 -> Stuttgart, Germany
131 : 0.00140105453403 -> Cote D\\'Azur, France
132 : 0.00139031126543 -> Hamburg, Germany
133 : 0.00135774512892 -> Tocumen Intl, Panama
134 : 0.0013569048961 -> Gran Canaria, Spain
135 : 0.00135584506883 -> Honiara International, Solomon Islands
136 : 0.00133964351051 -> Simon Bolivar Intl, Venezuela
137 : 0.00133671427995 -> Saint Exupery, France
138 : 0.00132276639089 -> San Diego Intl, United States
139 : 0.00132209486294 -> Fairbanks Intl, United States
140 : 0.00132142637868 -> Okecie, Poland
141 : 0.00130178953373 -> Edinburgh, United Kingdom
142 : 0.0012926718083 -> Netaji Subhash Chandra Bose Intl, India
143 : 0.00128725727149 -> Xinzheng, China
144 : 0.00128076724858 -> Nikos Kazantzakis, Greece
145 : 0.00126696476037 -> Provence, France
146 : 0.0012632447548 -> Ben Gurion, Israel
147 : 0.00126033588576 -> Viracopos, Brazil
148 : 0.0012546674162 -> Tansonnhat Intl, Vietnam
149 : 0.00123956051686 -> Bali Ngurah Rai, Indonesia
150 : 0.00122917499817 -> Antalya, Turkey
151 : 0.00122609404069 -> Zhoushuizi, China
152 : 0.00121463026765 -> Mohammed V Intl, Morocco
153 : 0.0012107471369 -> Glasgow, United Kingdom
154 : 0.00119758323157 -> Koln Bonn, Germany
155 : 0.00117678446195 -> Juneau Intl, United States
156 : 0.0011735322162 -> Shenyang Taoxian International Airport, China
157 : 0.00117127999207 -> Queen Alia Intl, Jordan
158 : 0.00116600864186 -> Chennai Intl, India
159 : 0.00116540636756 -> Don Muang Intl, Thailand
160 : 0.00116054024637 -> Tenerife Sur, Spain
161 : 0.00115889036443 -> Cairns Intl, Australia
162 : 0.00115591724153 -> Juan Santamaria Intl, Costa Rica
163 : 0.00114708541588 -> Deputado Luis Eduardo Magalhaes, Brazil
164 : 0.0011465540622 -> Rhodes Diagoras, Greece
165 : 0.00113972566228 -> Edmonton Intl, Canada
166 : 0.00113333995623 -> Kuwait Intl, Kuwait
167 : 0.00113281538793 -> Bangalore, India
168 : 0.00111719809069 -> Houari Boumediene, Algeria
169 : 0.00111613081736 -> Henri Coanda, Romania
170 : 0.00111380354539 -> Sioux Lookout, Canada
171 : 0.00110285313848 -> Port Vila Bauerfield, Vanuatu
172 : 0.00109947672368 -> Taiping, China
173 : 0.00109898477606 -> Jinan, China
174 : 0.00109774417343 -> Boryspil Intl, Ukraine
175 : 0.00109673118463 -> Ministro Pistarini, Argentina
176 : 0.00109176422418 -> Mashhad, Iran
177 : 0.00108078751232 -> Luis Munoz Marin Intl, Puerto Rico
178 : 0.0010800758654 -> Vnukovo, Russia
179 : 0.00107653309642 -> Nadi Intl, Fiji
180 : 0.00107291074234 -> Binhai, China
181 : 0.00106852850024 -> Seeb Intl, Oman
182 : 0.00106428347287 -> Longdongbao, China
183 : 0.00106303736342 -> Tancredo Neves Intl, Brazil
184 : 0.00105893253982 -> Cleveland Hopkins Intl, United States
185 : 0.00105212889477 -> Riga Intl, Latvia
186 : 0.0010470572754 -> Bristol, United Kingdom
187 : 0.00104419166149 -> Hasanuddin, Indonesia
188 : 0.00104360188078 -> Bergamo Orio Al Serio, Italy
189 : 0.00103982930398 -> Magenta, New Caledonia
190 : 0.00103809982632 -> Noibai Intl, Vietnam
191 : 0.00103740737728 -> Nome, United States
192 : 0.00103195026135 -> Eduardo Gomes Intl, Brazil
193 : 0.00102897119807 -> Koltsovo, Russia
194 : 0.00101964988305 -> Luton, United Kingdom
195 : 0.00100584354522 -> Mactan Cebu Intl, Philippines
196 : 0.00099766717686 -> Luqa, Malta
197 : 0.000988887869472 -> Tolmachevo, Russia
198 : 0.000977553950333 -> New Chitose, Japan
199 : 0.000972626498436 -> Adelaide Intl, Australia
200 : 0.000969502867245 -> Wuxu, China
201 : 0.000966792051713 -> Lanzarote, Spain
202 : 0.000964749953891 -> Nottingham East Midlands, United Kingdom
203 : 0.000962993930195 -> Juanda, Indonesia
204 : 0.000962626888605 -> Bandaranaike Intl Colombo, Sri Lanka
205 : 0.000960171185427 -> Faro, Portugal
206 : 0.000955796835709 -> Porto, Portugal
207 : 0.000954651141793 -> Don Miguel Hidalgo Y Costilla Intl, Mexico
208 : 0.000953111203465 -> Wusu, China
209 : 0.00095295585402 -> Kansas City Intl, United States
210 : 0.000951743033969 -> Ralph Wien Mem, United States
211 : 0.000946619386225 -> Yellowknife, Canada
212 : 0.000942405769447 -> Fukuoka, Japan
213 : 0.000941635809015 -> Darwin Intl, Australia
214 : 0.000930628770929 -> Changle, China
215 : 0.000927293988572 -> Nashville Intl, United States
216 : 0.000926148571869 -> Hyderabad, India
217 : 0.000920400191002 -> Newcastle, United Kingdom
218 : 0.000915842085275 -> Larnaca, Cyprus
219 : 0.000910455648483 -> Baita Airport, China
220 : 0.000909941813087 -> Yuzhny, Uzbekistan
221 : 0.000908025474164 -> Chubu Centrair Intl, Japan
222 : 0.000908004152297 -> Ioannis Kapodistrias Intl, Greece
223 : 0.000906184212672 -> Ferihegy, Hungary
224 : 0.00090581911896 -> Jose Marti Intl, Cuba
225 : 0.000905806385989 -> Lynden Pindling Intl, Bahamas
226 : 0.000901852493912 -> Afonso Pena, Brazil
227 : 0.00090014740584 -> Salgado Filho, Brazil
228 : 0.000895797748947 -> William P Hobby, United States
229 : 0.00089435328062 -> Luanda 4 De Fevereiro, Angola
230 : 0.000886718547789 -> Catania Fontanarossa, Italy
231 : 0.000884174557879 -> Tribhuvan Intl, Nepal
232 : 0.000883752509569 -> Carthage, Tunisia
233 : 0.00087825857981 -> EuroAirport Basel-Mulhouse-Freiburg, Switzerland
234 : 0.000872718141114 -> Congonhas, Brazil
235 : 0.000860111826659 -> Marcos A Gelabert Intl, Panama
236 : 0.000859771609347 -> Keflavik International Airport, Iceland
237 : 0.000855558253104 -> Jinnah Intl, Pakistan
238 : 0.000849450087174 -> Wellington Intl, New Zealand
239 : 0.00084800787129 -> Flesland, Norway
240 : 0.000845814474287 -> Almaty, Kazakhstan
241 : 0.000838962381647 -> Makedonia, Greece
242 : 0.000831832647886 -> Metropolitan Oakland Intl, United States
243 : 0.00083173906476 -> Bahrain Intl, Bahrain
244 : 0.00083155926359 -> Austin Bergstrom Intl, United States
245 : 0.000823614027905 -> King Fahd Intl, Saudi Arabia
246 : 0.000810212682927 -> Christchurch Intl, New Zealand
247 : 0.000808349785979 -> Gimhae Intl, South Korea
248 : 0.000805974516854 -> Murtala Muhammed, Nigeria
249 : 0.000797539135819 -> Zia Intl, Bangladesh
250 : 0.000797205938563 -> Meilan, China
251 : 0.00079648072434 -> Pisa, Italy
252 : 0.000795485527525 -> Menorca, Spain
253 : 0.000794873670726 -> Orlando Sanford Intl, United States
254 : 0.000790952126676 -> Winnipeg Intl, Canada
255 : 0.000789535610611 -> Mariscal Sucre Intl, Ecuador
256 : 0.000789227014703 -> Blagnac, France
257 : 0.000788297365015 -> Phoenix International, China
258 : 0.000786385799489 -> Raleigh Durham Intl, United States
259 : 0.000785666871032 -> Changbei Intl, China
260 : 0.000778861789125 -> Sochi, Russia
261 : 0.000778628746565 -> Liangjiang, China
262 : 0.00077459373506 -> Brussels South, Belgium
263 : 0.000767279824286 -> Marechal Rondon, Brazil
264 : 0.000761224320697 -> Valencia, Spain
265 : 0.000758528564677 -> Hannover, Germany
266 : 0.000756846341995 -> San Antonio Intl, United States
267 : 0.00075303948769 -> Rafic Hariri Intl, Lebanon
268 : 0.00075089106148 -> Bologna, Italy
269 : 0.000749846511291 -> General Mariano Escobedo Intl, Mexico
270 : 0.000746459396901 -> Fuerteventura, Spain
271 : 0.00074614549955 -> Iqaluit, Canada
272 : 0.000745081581661 -> Ottawa Macdonald Cartier Intl, Canada
273 : 0.000742438876914 -> Yangon Intl, Burma
274 : 0.000740614776536 -> Schonefeld, Germany
275 : 0.000738619905593 -> Kotoka Intl, Ghana
276 : 0.00073611676631 -> Memphis Intl, United States
277 : 0.000734462255418 -> Capodichino, Italy
278 : 0.000730926011023 -> Rankin Inlet, Canada
279 : 0.000730847186703 -> Val De Cans Intl, Brazil
280 : 0.000730465594252 -> Louis Armstrong New Orleans Intl, United States
281 : 0.000730416235544 -> Girona, Spain
282 : 0.000729920929352 -> Split, Croatia
283 : 0.000729082912467 -> El Salvador Intl, El Salvador
284 : 0.000729017433222 -> Kos, Greece
285 : 0.000724265197277 -> Ketchikan Intl, United States
286 : 0.000722599660667 -> Olbia Costa Smeralda, Italy
287 : 0.000719612840678 -> Leeds Bradford, United Kingdom
288 : 0.000716490227274 -> Phuket Intl, Thailand
289 : 0.000714496378057 -> Macau Intl, Macau
290 : 0.000713637153758 -> Nantes Atlantique, France
291 : 0.000713339492156 -> Beograd, Serbia
292 : 0.000713306084641 -> Dubrovnik, Croatia
293 : 0.000713077579635 -> Khartoum, Sudan
294 : 0.000712614665516 -> Norman Y Mineta San Jose Intl, United States
295 : 0.000709396625453 -> Kahului, United States
296 : 0.000708223587025 -> Lanzhou Airport, China
297 : 0.000705028075555 -> Cincinnati Northern Kentucky Intl, United States
298 : 0.000699101581544 -> Kota Kinabalu Intl, Malaysia
299 : 0.000696997099192 -> Polonia, Indonesia
300 : 0.000693751585749 -> Cape Town Intl, South Africa
301 : 0.000691979096183 -> Shiraz Shahid Dastghaib Intl, Iran
302 : 0.000690273118615 -> Esenboga, Turkey
303 : 0.00068952997847 -> Guararapes Gilberto Freyre Intl, Brazil
304 : 0.000689475857214 -> General Mitchell Intl, United States
305 : 0.00068648060547 -> Pittsburgh Intl, United States
306 : 0.000684752537649 -> City, United Kingdom
307 : 0.000678364505129 -> Bilbao, Spain
308 : 0.000676336495737 -> Leopold Sedar Senghor Intl, Senegal
309 : 0.000675843872771 -> Heydar Aliyev, Azerbaijan
310 : 0.000673823928042 -> Naha, Japan
311 : 0.000672147807934 -> Wenzhou Yongqiang Airport, China
312 : 0.000671417008916 -> Punta Cana Intl, Dominican Republic
313 : 0.000667517229783 -> Astana Intl, Kazakhstan
314 : 0.000665588327445 -> Sepinggan, Indonesia
315 : 0.000663395685725 -> Jeju Intl, South Korea
316 : 0.000661281449484 -> Luxembourg, Luxembourg
317 : 0.000659341314107 -> Sacramento Intl, United States
318 : 0.000657219641384 -> Luogang, China
319 : 0.000656304861974 -> Aniak Airport, United States
320 : 0.000646405011918 -> Adnan Menderes, Turkey
321 : 0.000643074190581 -> Jose Joaquin De Olmedo Intl, Ecuador
322 : 0.000641651073051 -> Indianapolis Intl, United States
323 : 0.000641573697419 -> Santos Dumont, Brazil
324 : 0.000640247502271 -> Tripoli Intl, Libya
325 : 0.000634718840157 -> Chaklala, Pakistan
326 : 0.000627050753566 -> El Alto Intl, Bolivia
327 : 0.000625437167586 -> Port Columbus Intl, United States
328 : 0.000622970873449 -> Quebec Jean Lesage Intl, Canada
329 : 0.000622856514878 -> Changchun, China
330 : 0.000620349962515 -> Menara, Morocco
331 : 0.000619571487513 -> Sept Iles, Canada
332 : 0.000617774684998 -> Princess Juliana Intl, Netherlands Antilles
333 : 0.000615259757444 -> Nnamdi Azikiwe Intl, Nigeria
334 : 0.000615078321218 -> Halifax Intl, Canada
335 : 0.000611616503488 -> Merignac, France
336 : 0.000610727113876 -> Palermo, Italy
337 : 0.000609013206273 -> Abidjan Felix Houphouet Boigny Intl, Cote d'Ivoire
338 : 0.000608894440907 -> Southwest Florida Intl, United States
339 : 0.000607758069373 -> Ivato, Madagascar
340 : 0.000604395333224 -> Sofia, Bulgaria
341 : 0.000603034939574 -> Elmas, Italy
342 : 0.000601670361438 -> Cochin, India
343 : 0.000595623598693 -> Yinchuan, China
344 : 0.00059556907581 -> Penang Intl, Malaysia
345 : 0.00059409919941 -> Osaka Intl, Japan
346 : 0.000593681003363 -> Liverpool, United Kingdom
347 : 0.000592484068891 -> Novy, Russia
348 : 0.000591360498355 -> Linate, Italy
349 : 0.000589638264148 -> Subang-Sultan Abdul Aziz Shah Intl, Malaysia
350 : 0.000588412770511 -> Tanna island, Vanuatu
351 : 0.000586220001898 -> Dalaman, Turkey
352 : 0.000583948142525 -> Wabush, Canada
353 : 0.000581606069927 -> Pinto Martins Intl, Brazil
354 : 0.000580221285586 -> Eindhoven, Netherlands
355 : 0.000577595739565 -> Shijiazhuang Daguocun International Airport, China
356 : 0.000576235088497 -> Albuquerque International Sunport, United States
357 : 0.000573830498708 -> Minsk 2, Belarus
358 : 0.00057378330901 -> Lishe, China
359 : 0.000570366867083 -> Nairobi Wilson, Kenya
360 : 0.000569783905765 -> Vaernes, Norway
361 : 0.000567884097576 -> Lusaka Intl, Zambia
362 : 0.00056773892301 -> Emelyanovo, Russia
363 : 0.000566878506165 -> Mandalay Intl, Burma
364 : 0.000566470773707 -> Douala, Cameroon
365 : 0.00056312895473 -> Vilnius Intl, Lithuania
366 : 0.000560734454604 -> Allama Iqbal Intl, Pakistan
367 : 0.000558442236659 -> Reina Beatrix Intl, Aruba
368 : 0.000555683816098 -> Miri, Malaysia
369 : 0.000554244906459 -> Reykjavik, Iceland
370 : 0.000554050514756 -> Burgas, Bulgaria
371 : 0.00055158429831 -> Unalaska, United States
372 : 0.000550640565852 -> Madeira, Portugal
373 : 0.00054165665908 -> Hato, Netherlands Antilles
374 : 0.000540854813708 -> John Wayne Arpt Orange Co, United States
375 : 0.000539971583644 -> Sir Seewoosagur Ramgoolam Intl, Mauritius
376 : 0.000537993782688 -> Tille, France
377 : 0.000536703046658 -> Kaohsiung Intl, Taiwan
378 : 0.000535892505168 -> Balice, Poland
379 : 0.000535011693941 -> Sanaa Intl, Yemen
380 : 0.000534234802784 -> Thunder Bay, Canada
381 : 0.000529427656489 -> Knevichi, Russia
382 : 0.0005289353158 -> Laishan, China
383 : 0.000528134189591 -> Los Cabos Intl, Mexico
384 : 0.000527793351617 -> Frankfurt Hahn, Germany
385 : 0.000527148929621 -> Imam Khomeini, Iran
386 : 0.000519682948816 -> Niederrhein, Germany
387 : 0.000519589929928 -> Chinggis Khaan Intl, Mongolia
388 : 0.000518739115207 -> Sola, Norway
389 : 0.000516681824284 -> Tallinn, Estonia
390 : 0.000515672486375 -> Viru Viru Intl, Bolivia
391 : 0.000515146882713 -> Goose Bay, Canada
392 : 0.000510571155468 -> Phoenix-Mesa Gateway, United States
393 : 0.000510385530027 -> Lijiang Airport, China
394 : 0.000509743924568 -> Bari, Italy
395 : 0.000508053451523 -> Pafos Intl, Cyprus
396 : 0.000507809752193 -> Townsville, Australia
397 : 0.000505134412721 -> Sevilla, Spain
398 : 0.000504942286999 -> King Salmon, United States
399 : 0.000504724006406 -> Gold Coast, Australia
400 : 0.000503694049169 -> Langnes, Norway
401 : 0.000501435940898 -> General Abelardo L Rodriguez Intl, Mexico
402 : 0.000496825651043 -> Nuuk, Greenland
403 : 0.000496144129923 -> Dallas Love Fld, United States
